Index,Class
0,0
1,0
2,1
3,1
4,1
5,0
6,0
7,1
8,0
9,1
10,1
11,1
12,1
13,0
14,1
15,0
16,1
17,1
18,1
19,0
20,1
21,0
22,0
23,1
24,0
25,1
26,1
27,0
28,0
29,1
30,0
31,1
32,0
33,1
34,0
35,0
36,0
37,1
38,1
39,0
40,1
41,0
42,0
43,0
44,0
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,0
53,0
54,1
55,1
56,0
57,1
58,0
59,1
60,1
61,0
62,1
63,1
64,0
65,0
66,0
67,1
68,1
69,1
70,1
71,0
72,1
73,1
74,0
75,0
76,1
77,0
78,0
79,1
80,1
81,0
82,1
83,1
84,1
85,0
86,0
87,1
88,1
89,0
90,0
91,0
92,1
93,0
94,1
95,1
96,1
97,0
98,1
99,0
100,1
101,1
102,1
103,0
104,0
105,0
106,0
107,1
108,0
109,1
110,0
111,0
112,0
113,1
114,0
115,0
116,1
117,1
118,0
119,1
120,0
121,1
122,1
123,0
124,0
125,1
126,1
127,1
128,0
129,1
130,0
131,0
132,0
133,1
134,1
135,0
136,0
137,0
138,1
139,1
140,1
141,0
142,0
143,1
144,0
145,0
146,0
147,0
148,0
149,0
150,1
151,1
152,1
153,0
154,0
155,1
156,0
157,0
158,1
159,1
160,0
161,1
162,0
163,0
164,0
165,1
166,1
167,1
168,1
169,0
170,1
171,1
172,0
173,1
174,1
175,0
176,1
177,1
178,0
179,1
180,1
181,1
182,1
183,0
184,1
185,1
186,1
187,1
188,0
189,1
190,1
191,1
192,0
193,0
194,0
195,1
196,1
197,0
198,1
199,0
200,0
201,0
202,0
203,1
204,1
205,0
206,0
207,0
208,1
209,0
210,0
211,1
212,0
213,1
214,1
215,1
216,0
217,0
218,0
219,1
220,0
221,0
222,0
223,1
224,0
225,0
226,0
227,0
228,1
229,1
230,0
231,0
232,0
233,0
234,1
235,1
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,1
244,1
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,1
254,1
255,0
256,0
257,1
258,0
259,1
260,0
261,0
262,0
263,0
264,0
265,0
266,1
267,1
268,0
269,1
270,1
271,0
272,1
273,1
274,0
275,1
276,0
277,0
278,0
279,1
280,1
281,1
282,0
283,0
284,0
285,1
286,1
287,1
288,1
289,1
290,0
291,1
292,0
293,1
294,0
295,0
296,0
297,1
298,0
299,1
300,0
301,1
302,1
303,0
304,0
305,1
306,1
307,0
308,0
309,0
310,0
311,0
312,1
313,0
314,0
315,1
316,1
317,0
318,1
319,0
320,1
321,0
322,0
323,0
324,1
325,1
326,0
327,1
328,0
329,0
330,1
331,0
332,1
333,0
334,0
335,0
336,0
337,0
338,1
339,1
340,0
341,0
342,0
343,0
344,1
345,0
346,0
347,1
348,0
349,1
350,0
351,0
