Index,Class
0,0
1,1
2,0
3,1
4,0
5,0
6,0
7,1
8,0
9,0
10,1
11,1
12,0
13,0
14,0
15,0
16,1
17,0
18,1
19,1
20,1
21,0
22,0
23,0
24,1
25,1
26,0
27,0
28,1
29,1
30,1
31,1
32,0
33,0
34,0
35,1
36,1
37,1
38,1
39,0
40,1
41,0
42,0
43,0
44,0
45,0
46,1
47,1
48,1
49,1
50,0
51,1
52,0
53,0
54,1
55,1
56,0
57,1
58,0
59,1
60,1
61,0
62,1
63,1
64,0
65,1
66,0
67,1
68,1
69,1
70,1
71,0
72,0
73,1
74,1
75,1
76,1
77,0
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,0
87,1
88,1
89,0
90,1
91,1
92,1
93,1
94,1
95,1
96,0
97,0
98,1
99,1
100,1
101,1
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,1
110,0
111,1
112,0
113,1
114,1
115,0
116,1
117,0
118,0
119,1
120,0
121,1
122,1
123,0
124,0
125,1
126,0
127,0
128,0
129,0
130,1
131,0
132,0
133,1
134,1
135,0
136,0
137,1
138,1
139,1
140,1
141,0
142,0
143,1
144,1
145,0
146,1
147,0
148,0
149,0
150,0
151,1
152,0
153,1
154,1
155,1
156,0
157,1
158,1
159,1
160,0
161,1
162,1
163,0
164,0
165,1
166,0
167,1
168,1
169,0
170,1
171,1
172,1
173,1
174,0
175,1
176,0
177,1
178,0
179,0
180,1
181,1
182,1
183,1
184,1
185,0
186,1
187,1
188,0
189,1
190,0
191,1
192,0
193,0
194,1
195,0
196,0
197,0
198,1
199,0
200,1
201,1
202,0
203,1
204,0
205,0
206,0
207,0
208,1
209,0
210,0
211,0
212,0
213,1
214,1
215,0
216,0
217,0
218,0
219,0
220,1
221,1
222,0
223,1
224,0
225,0
226,0
227,0
228,1
229,1
230,1
231,0
232,0
233,1
234,1
235,1
236,1
237,1
238,1
239,0
240,1
241,0
242,0
243,1
244,0
245,0
246,1
247,1
248,1
249,0
250,0
251,1
252,0
253,1
254,1
255,0
256,0
257,0
258,1
259,0
260,0
261,1
262,0
263,0
264,1
265,1
266,0
267,0
268,0
269,1
270,1
271,1
272,1
273,1
274,1
275,0
276,0
277,1
278,1
279,1
280,1
281,0
282,0
283,1
284,0
285,0
286,1
287,0
288,1
289,0
290,0
291,1
292,0
293,0
294,0
295,0
296,0
297,1
298,0
299,1
300,1
301,1
302,0
303,1
304,0
305,1
306,1
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,1
316,0
317,0
318,1
319,0
320,1
321,0
322,1
323,1
324,1
325,1
326,0
327,1
328,0
329,0
330,0
331,0
332,1
333,0
334,1
335,1
336,0
337,0
338,1
339,1
340,0
341,0
342,0
343,0
344,0
345,1
346,0
347,1
348,1
349,1
350,0
351,0
