Index,Class
0,0
1,1
2,0
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,1
11,1
12,0
13,1
14,0
15,1
16,1
17,0
18,1
19,1
20,1
21,0
22,0
23,0
24,1
25,1
26,1
27,1
28,0
29,1
30,1
31,1
32,0
33,0
34,1
35,0
36,0
37,1
38,1
39,0
40,1
41,1
42,0
43,0
44,0
45,0
46,1
47,0
48,1
49,1
50,0
51,1
52,0
53,1
54,1
55,1
56,1
57,1
58,0
59,1
60,1
61,0
62,1
63,1
64,0
65,1
66,0
67,1
68,1
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,0
78,0
79,1
80,1
81,1
82,1
83,1
84,1
85,0
86,0
87,1
88,1
89,0
90,1
91,1
92,1
93,1
94,1
95,1
96,0
97,1
98,1
99,1
100,1
101,1
102,1
103,0
104,1
105,0
106,0
107,1
108,1
109,1
110,0
111,0
112,0
113,0
114,1
115,0
116,1
117,0
118,0
119,1
120,0
121,1
122,1
123,0
124,0
125,1
126,1
127,1
128,1
129,1
130,0
131,1
132,0
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,0
142,0
143,1
144,1
145,0
146,1
147,0
148,0
149,1
150,0
151,1
152,1
153,1
154,1
155,1
156,0
157,0
158,1
159,1
160,0
161,1
162,1
163,1
164,0
165,1
166,1
167,1
168,1
169,0
170,1
171,0
172,1
173,1
174,1
175,1
176,0
177,1
178,0
179,1
180,1
181,1
182,1
183,0
184,1
185,0
186,1
187,1
188,1
189,1
190,0
191,1
192,0
193,1
194,0
195,0
196,0
197,0
198,1
199,0
200,1
201,1
202,0
203,1
204,0
205,0
206,0
207,1
208,0
209,1
210,1
211,0
212,1
213,1
214,1
215,0
216,1
217,1
218,0
219,0
220,0
221,0
222,0
223,1
224,1
225,1
226,0
227,1
228,1
229,1
230,0
231,0
232,0
233,1
234,1
235,1
236,0
237,1
238,0
239,1
240,1
241,0
242,1
243,1
244,1
245,1
246,0
247,0
248,0
249,1
250,0
251,0
252,0
253,0
254,1
255,0
256,0
257,1
258,0
259,0
260,0
261,1
262,1
263,1
264,0
265,0
266,1
267,0
268,1
269,1
270,1
271,1
272,0
273,1
274,1
275,0
276,1
277,0
278,1
279,1
280,1
281,0
282,0
283,1
284,0
285,0
286,1
287,0
288,1
289,0
290,0
291,1
292,0
293,0
294,1
295,1
296,1
297,1
298,0
299,1
300,0
301,1
302,0
303,0
304,0
305,1
306,1
307,1
308,1
309,0
310,0
311,0
312,0
313,0
314,0
315,1
316,1
317,0
318,1
319,0
320,1
321,0
322,1
323,0
324,1
325,1
326,1
327,1
328,0
329,0
330,0
331,0
332,1
333,0
334,1
335,1
336,0
337,0
338,1
339,1
340,0
341,0
342,0
343,0
344,0
345,1
346,0
347,1
348,0
349,1
350,1
351,1
